,true_label,graph_id,method,binary_prediction,fold,probability_prediction_0,probability_prediction_1,probability_prediction_2
0,0,0,pagerank_w_mean_0.00,2,0,0.3991,0.1085,0.4924
1,2,1,pagerank_w_mean_0.00,2,0,0.1791,0.0881,0.7328
2,2,2,pagerank_w_mean_0.00,2,0,0.1853,0.0857,0.729
3,2,3,pagerank_w_mean_0.00,2,0,0.2598,0.0958,0.6444
4,2,4,pagerank_w_mean_0.00,2,0,0.325,0.1068,0.5682
5,1,5,pagerank_w_mean_0.00,2,0,0.2905,0.125,0.5846
6,2,6,pagerank_w_mean_0.00,2,0,0.2781,0.1001,0.6219
7,2,7,pagerank_w_mean_0.00,0,0,0.4514,0.1269,0.4218
8,0,8,pagerank_w_mean_0.00,2,0,0.3825,0.1196,0.4979
9,2,9,pagerank_w_mean_0.00,2,0,0.3054,0.1105,0.5841
10,0,10,pagerank_w_mean_0.00,2,0,0.3389,0.0929,0.5682
11,1,11,pagerank_w_mean_0.00,2,0,0.317,0.1167,0.5663
12,2,12,pagerank_w_mean_0.00,0,0,0.4421,0.1162,0.4417
13,0,13,pagerank_w_mean_0.00,2,0,0.4033,0.1029,0.4938
14,2,14,pagerank_w_mean_0.00,2,0,0.3253,0.1065,0.5682
15,0,15,pagerank_w_mean_0.00,0,0,0.5067,0.1272,0.3661
16,2,16,pagerank_w_mean_0.00,2,0,0.1588,0.0748,0.7664
17,0,17,pagerank_w_mean_0.00,2,0,0.2518,0.0981,0.6501
18,1,18,pagerank_w_mean_0.00,2,0,0.3572,0.1217,0.5211
19,2,19,pagerank_w_mean_0.00,0,0,0.4563,0.1307,0.413
20,0,20,pagerank_w_mean_0.00,2,0,0.3923,0.1067,0.5011
21,2,21,pagerank_w_mean_0.00,2,0,0.2577,0.0945,0.6478
22,2,22,pagerank_w_mean_0.00,2,0,0.3291,0.103,0.5679
23,2,23,pagerank_w_mean_0.00,2,0,0.2836,0.0924,0.624
24,1,24,pagerank_w_mean_0.00,2,0,0.3498,0.1155,0.5347
25,2,25,pagerank_w_mean_0.00,2,0,0.1937,0.0863,0.7199
26,2,26,pagerank_w_mean_0.00,2,0,0.2483,0.1026,0.6491
27,2,27,pagerank_w_mean_0.00,2,0,0.4002,0.1158,0.484
28,2,28,pagerank_w_mean_0.00,2,0,0.1915,0.0979,0.7105
29,2,29,pagerank_w_mean_0.00,0,0,0.4554,0.1141,0.4305
30,1,30,pagerank_w_mean_0.00,0,0,0.5359,0.1375,0.3266
31,1,31,pagerank_w_mean_0.00,0,0,0.4373,0.1325,0.4302
32,2,32,pagerank_w_mean_0.00,2,0,0.2035,0.0929,0.7036
33,2,33,pagerank_w_mean_0.00,0,0,0.5154,0.1208,0.3638
34,2,34,pagerank_w_mean_0.00,2,0,0.4032,0.1124,0.4844
35,0,35,pagerank_w_mean_0.00,2,0,0.3221,0.1063,0.5716
36,2,36,pagerank_w_mean_0.00,2,0,0.2819,0.0983,0.6199
37,0,37,pagerank_w_mean_0.00,2,0,0.4181,0.1277,0.4542
38,0,38,pagerank_w_mean_0.00,0,0,0.4751,0.1314,0.3935
39,0,39,pagerank_w_mean_0.00,0,0,0.473,0.1204,0.4066
40,0,40,pagerank_w_mean_0.00,0,0,0.6204,0.1228,0.2568
41,2,41,pagerank_w_mean_0.00,2,0,0.3786,0.1159,0.5055
42,2,42,pagerank_w_mean_0.00,2,0,0.4405,0.1093,0.4502
