,graph_id,method,binary_prediction,true_label,probability_prediction_0,probability_prediction_1,probability_prediction_2
0,0,pagerank_w_mean_0.00,1,1,0.29908051996947493,0.36073405645704515,0.3401854235734799
1,1,pagerank_w_mean_0.00,1,2,0.07445773672210794,0.46613143051803213,0.45941083275985994
2,2,pagerank_w_mean_0.00,1,0,0.27806809022661794,0.4195841516469756,0.3023477581264064
3,3,pagerank_w_mean_0.00,1,1,0.19170837220396877,0.4259216941523212,0.38236993364371014
4,4,pagerank_w_mean_0.00,1,2,0.3034834483814922,0.4040336437140429,0.29248290790446485
5,5,pagerank_w_mean_0.00,0,1,0.3597132905503494,0.3477486615871358,0.2925380478625148
6,6,pagerank_w_mean_0.00,1,2,0.3572867146084717,0.373305627514126,0.26940765787740223
7,7,pagerank_w_mean_0.00,1,0,0.26532684581713867,0.3918667897496394,0.3428063644332219
8,8,pagerank_w_mean_0.00,0,2,0.3642978922047932,0.3606048330706801,0.27509727472452666
9,9,pagerank_w_mean_0.00,0,1,0.38013582231250626,0.3494850126955711,0.27037916499192266
10,10,pagerank_w_mean_0.00,1,2,0.19726291390891726,0.42980649966227275,0.37293058642881
11,11,pagerank_w_mean_0.00,1,2,0.1231971472654397,0.4777077942197155,0.3990950585148447
12,12,pagerank_w_mean_0.00,1,2,0.15778098263911947,0.45931744348611264,0.3829015738747679
13,13,pagerank_w_mean_0.00,1,1,0.11065984277007714,0.45213161441001093,0.437208542819912
14,14,pagerank_w_mean_0.00,1,1,0.23300506453942352,0.4214662205862195,0.3455287148743569
15,15,pagerank_w_mean_0.00,1,1,0.14766698260496164,0.4698535910829467,0.3824794263120916
16,16,pagerank_w_mean_0.00,1,0,0.26115190185569315,0.42187472586710817,0.31697337227719863
17,17,pagerank_w_mean_0.00,1,1,0.16909450766557094,0.44990079599911326,0.38100469633531586
18,18,pagerank_w_mean_0.00,1,1,0.27395918038673617,0.3916685103954049,0.3343723092178589
19,19,pagerank_w_mean_0.00,1,1,0.1399895488321316,0.4519843201341691,0.40802613103369934
20,20,pagerank_w_mean_0.00,0,0,0.36921866137439424,0.3680341145977704,0.2627472240278353
21,21,pagerank_w_mean_0.00,1,2,0.27480121998188084,0.41777117379406276,0.3074276062240565
22,22,pagerank_w_mean_0.00,1,1,0.2035902364217647,0.4091227286658761,0.38728703491235916
23,23,pagerank_w_mean_0.00,1,2,0.34083050053501407,0.38382267641324946,0.27534682305173647
24,24,pagerank_w_mean_0.00,1,2,0.16300509778536396,0.45236964093653564,0.38462526127810037
25,25,pagerank_w_mean_0.00,1,2,0.12352523081670069,0.44904962514715063,0.4274251440361487
26,26,pagerank_w_mean_0.00,1,1,0.22783184370995485,0.40621926570426653,0.3659488905857787
27,27,pagerank_w_mean_0.00,1,2,0.2292110971617899,0.41437262893089205,0.3564162739073181
28,28,pagerank_w_mean_0.00,1,2,0.12990876884152694,0.45739306331282803,0.41269816784564506
29,29,pagerank_w_mean_0.00,1,2,0.27590408369995423,0.4145400640324642,0.3095558522675815
30,30,pagerank_w_mean_0.00,1,1,0.2614071240181687,0.39515270714181766,0.34344016884001366
31,31,pagerank_w_mean_0.00,1,1,0.2749249596274828,0.3878123246847749,0.33726271568774235
32,32,pagerank_w_mean_0.00,1,2,0.1774007023827469,0.4328080577285853,0.3897912398886678
33,33,pagerank_w_mean_0.00,1,2,0.3551306661751103,0.3735798515730536,0.27128948225183613
34,34,pagerank_w_mean_0.00,1,0,0.16252560599651067,0.43343550681703846,0.4040388871864509
35,35,pagerank_w_mean_0.00,1,2,0.2383397106013743,0.44229987095115464,0.3193604184474711
36,36,pagerank_w_mean_0.00,1,2,0.17833594372691655,0.43775793448488404,0.3839061217881995
37,37,pagerank_w_mean_0.00,1,1,0.23781263504207356,0.42547312781732716,0.33671423714059934
38,38,pagerank_w_mean_0.00,1,2,0.19614834117835905,0.45670896208091366,0.34714269674072734
39,39,pagerank_w_mean_0.00,1,1,0.14283771624461697,0.4636066279577499,0.39355565579763324
40,40,pagerank_w_mean_0.00,1,1,0.20882055295658822,0.4380457672892764,0.35313367975413534
41,41,pagerank_w_mean_0.00,1,2,0.20633989224196858,0.44726207712280863,0.34639803063522284
42,42,pagerank_w_mean_0.00,1,2,0.3515762585863599,0.3753040638956236,0.2731196775180165
43,43,pagerank_w_mean_0.00,1,2,0.09816285777836982,0.4668926461766081,0.4349444960450221
44,44,pagerank_w_mean_0.00,1,0,0.1856085555671655,0.43916286353573547,0.37522858089709904
45,45,pagerank_w_mean_0.00,1,0,0.1752516282304324,0.4367490198200109,0.3879993519495567
46,46,pagerank_w_mean_0.00,1,2,0.3054880597192519,0.390123089144892,0.30438885113585606
47,47,pagerank_w_mean_0.00,1,1,0.3194167241062383,0.36273745626847176,0.31784581962528996
48,48,pagerank_w_mean_0.00,1,1,0.24570855176873765,0.4188861376060068,0.33540531062525547
49,49,pagerank_w_mean_0.00,1,1,0.16829202761510004,0.4510462226412253,0.38066174974367467
50,50,pagerank_w_mean_0.00,1,1,0.17972271385245248,0.45192038451161454,0.36835690163593293
