,true_label,graph_id,method,binary_prediction,fold,probability_prediction_0,probability_prediction_1,probability_prediction_2
0,1,0,pagerank_w_mean_0.00,1,0,0.2308,0.4502,0.319
1,2,1,pagerank_w_mean_0.00,1,0,0.2076,0.4197,0.3726
2,0,2,pagerank_w_mean_0.00,1,0,0.2286,0.4395,0.3319
3,1,3,pagerank_w_mean_0.00,1,0,0.2304,0.4534,0.3162
4,2,4,pagerank_w_mean_0.00,1,0,0.2172,0.4304,0.3524
5,1,5,pagerank_w_mean_0.00,1,0,0.2354,0.4462,0.3184
6,2,6,pagerank_w_mean_0.00,1,0,0.2028,0.4155,0.3816
7,0,7,pagerank_w_mean_0.00,1,0,0.2221,0.4402,0.3377
8,2,8,pagerank_w_mean_0.00,1,0,0.2138,0.4274,0.3588
9,1,9,pagerank_w_mean_0.00,1,0,0.2461,0.4596,0.2943
10,2,10,pagerank_w_mean_0.00,1,0,0.2246,0.4382,0.3372
11,2,11,pagerank_w_mean_0.00,1,0,0.2182,0.4301,0.3516
12,2,12,pagerank_w_mean_0.00,1,0,0.1963,0.4082,0.3955
13,1,13,pagerank_w_mean_0.00,1,0,0.2344,0.4521,0.3134
14,1,14,pagerank_w_mean_0.00,1,0,0.2389,0.4505,0.3106
15,1,15,pagerank_w_mean_0.00,1,0,0.2341,0.458,0.3078
16,0,16,pagerank_w_mean_0.00,1,0,0.2284,0.4361,0.3355
17,1,17,pagerank_w_mean_0.00,1,0,0.2366,0.4534,0.3099
18,1,18,pagerank_w_mean_0.00,1,0,0.2285,0.448,0.3235
19,1,19,pagerank_w_mean_0.00,1,0,0.2374,0.4522,0.3105
20,0,20,pagerank_w_mean_0.00,1,0,0.2416,0.4227,0.3356
21,2,21,pagerank_w_mean_0.00,1,0,0.2186,0.4316,0.3498
22,1,22,pagerank_w_mean_0.00,1,0,0.2454,0.448,0.3066
23,2,23,pagerank_w_mean_0.00,2,0,0.1819,0.3915,0.4266
24,2,24,pagerank_w_mean_0.00,1,0,0.2136,0.4272,0.3592
25,2,25,pagerank_w_mean_0.00,1,0,0.2165,0.4305,0.353
26,1,26,pagerank_w_mean_0.00,1,0,0.2354,0.4507,0.3139
27,2,27,pagerank_w_mean_0.00,1,0,0.2194,0.4335,0.3471
28,2,28,pagerank_w_mean_0.00,1,0,0.2265,0.4391,0.3343
29,2,29,pagerank_w_mean_0.00,1,0,0.1974,0.4074,0.3952
30,1,30,pagerank_w_mean_0.00,1,0,0.2381,0.4481,0.3138
31,1,31,pagerank_w_mean_0.00,1,0,0.2378,0.4506,0.3116
32,2,32,pagerank_w_mean_0.00,1,0,0.2141,0.4272,0.3586
33,2,33,pagerank_w_mean_0.00,1,0,0.2224,0.435,0.3426
34,0,34,pagerank_w_mean_0.00,1,0,0.2278,0.4324,0.3398
35,2,35,pagerank_w_mean_0.00,1,0,0.2214,0.4342,0.3444
36,2,36,pagerank_w_mean_0.00,1,1,0.1987,0.4317,0.3696
37,1,37,pagerank_w_mean_0.00,1,0,0.2353,0.4485,0.3162
38,2,38,pagerank_w_mean_0.00,1,1,0.1955,0.422,0.3825
39,1,39,pagerank_w_mean_0.00,1,0,0.2368,0.4497,0.3135
40,1,40,pagerank_w_mean_0.00,1,0,0.2398,0.4542,0.306
41,2,41,pagerank_w_mean_0.00,1,1,0.1906,0.406,0.4034
42,2,42,pagerank_w_mean_0.00,2,1,0.1899,0.4032,0.4069
43,2,43,pagerank_w_mean_0.00,1,1,0.2035,0.4522,0.3443
44,0,44,pagerank_w_mean_0.00,1,0,0.2245,0.4367,0.3389
45,0,45,pagerank_w_mean_0.00,1,0,0.2194,0.4425,0.3381
